Tamaño muestra,Tiempo[ms]
<<<<<<< HEAD
10000,7.75106e+06
20000,8.62114e+06
30000,9.84138e+06
40000,1.10308e+07
50000,1.34616e+07
=======
10000,163
20000,205
30000,253
40000,252
50000,292
>>>>>>> parent of 52747db (Final)
